species,datafile,partner,Tk_K,upper_id,upper_group,upper_label,upper_qn_json,E_u_K,g_u,A_tot_s-1,gamma_tot_cm3_s-1,ncrit_cm-3,n_rad_branches,n_coll_branches,data_mode,is_hfs_resolved,is_collision_hfs_resolved,is_collision_approximate,warnings
CN,cn-hfs.dat,p-H2,5.0,68,N=12,"N=12,J=11.5,F=10.5","{""F"": 10.5, ""J"": 11.5, ""N"": 12}",424.16091926698823,22.0,0.029449262,6.455333450695376e-10,45620047.70927471,5,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,69,N=12,"N=12,J=11.5,F=11.5","{""F"": 11.5, ""J"": 11.5, ""N"": 12}",424.1616386554267,24.0,0.029529497000000002,6.49515976202982e-10,45463850.13133481,5,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,70,N=12,"N=12,J=11.5,F=12.5","{""F"": 12.5, ""J"": 11.5, ""N"": 12}",424.1626457992406,26.0,0.029506707,6.492630379672422e-10,45446460.48600217,3,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,71,N=12,"N=12,J=12.5,F=13.5","{""F"": 13.5, ""J"": 12.5, ""N"": 12}",424.29141632973204,28.0,0.0295,6.507594662922384e-10,45331649.44657501,1,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,72,N=12,"N=12,J=12.5,F=12.5","{""F"": 12.5, ""J"": 12.5, ""N"": 12}",424.2922795958583,26.0,0.029489,6.505860075154298e-10,45326827.904918656,2,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,5.0,73,N=12,"N=12,J=12.5,F=11.5","{""F"": 11.5, ""J"": 12.5, ""N"": 12}",424.2929989842968,24.0,0.029504327,6.468875366474995e-10,45609669.88621615,3,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,10.0,3,N=1,"N=1,J=0.5,F=0.5","{""F"": 0.5, ""J"": 0.5, ""N"": 1}",5.430087811485699,2.0,1.1789999999999999e-05,4.4692049422453323e-11,263805.31106449314,2,70,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,10.0,4,N=1,"N=1,J=0.5,F=1.5","{""F"": 1.5, ""J"": 0.5, ""N"": 1}",5.4323898544889,4.0,1.182e-05,3.9099510591108934e-11,302305.57419528975,2,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,10.0,5,N=1,"N=1,J=1.5,F=2.5","{""F"": 2.5, ""J"": 1.5, ""N"": 1}",5.4467776232589,6.0,1.19e-05,2.8718762081154804e-11,414363.26420938445,1,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,10.0,6,N=1,"N=1,J=1.5,F=1.5","{""F"": 1.5, ""J"": 1.5, ""N"": 1}",5.4474970116974,4.0,1.193e-05,3.733320113840179e-11,319554.7029512165,2,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,10.0,7,N=1,"N=1,J=1.5,F=0.5","{""F"": 0.5, ""J"": 1.5, ""N"": 1}",5.4480725224482,2.0,1.19e-05,3.7317155151863406e-11,318888.1883298058,2,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,10.0,8,N=2,"N=2,J=1.5,F=0.5","{""F"": 0.5, ""J"": 1.5, ""N"": 2}",16.3082481454196,2.0,0.00011383,5.485629499015647e-11,2075058.1135752222,4,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,10.0,9,N=2,"N=2,J=1.5,F=1.5","{""F"": 1.5, ""J"": 1.5, ""N"": 2}",16.3089675338581,4.0,0.00011392,5.416225694500042e-11,2103309.692498249,5,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,10.0,10,N=2,"N=2,J=1.5,F=2.5","{""F"": 2.5, ""J"": 1.5, ""N"": 2}",16.3102624330474,6.0,0.00011396,4.1412857166191445e-11,2751802.4062593407,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,10.0,11,N=2,"N=2,J=2.5,F=3.5","{""F"": 3.5, ""J"": 2.5, ""N"": 2}",16.335009395331802,8.0,0.000114,3.41793844079496e-11,3335343.8622342586,1,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,10.0,12,N=2,"N=2,J=2.5,F=2.5","{""F"": 2.5, ""J"": 2.5, ""N"": 2}",16.335872661457998,6.0,0.00011430144999999999,4.28973379557165e-11,2664534.8044206128,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,10.0,13,N=2,"N=2,J=2.5,F=1.5","{""F"": 1.5, ""J"": 2.5, ""N"": 2}",16.3364481722088,4.0,0.00011433,3.9703195466568683e-11,2879617.085135361,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,10.0,14,N=3,"N=3,J=2.5,F=1.5","{""F"": 1.5, ""J"": 2.5, ""N"": 3}",32.6272871174167,4.0,0.00041252,3.880859378788858e-11,10629604.418409502,5,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,10.0,15,N=3,"N=3,J=2.5,F=2.5","{""F"": 2.5, ""J"": 2.5, ""N"": 3}",32.6281503835429,6.0,0.00041213999999999997,4.077248583506085e-11,10108287.281458685,5,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,10.0,16,N=3,"N=3,J=2.5,F=3.5","{""F"": 3.5, ""J"": 2.5, ""N"": 3}",32.6291575273568,8.0,0.00041173,3.530096989917792e-11,11663418.913869226,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,10.0,17,N=3,"N=3,J=3.5,F=4.5","{""F"": 4.5, ""J"": 3.5, ""N"": 3}",32.6642636831556,10.0,0.000413,3.3084331352116223e-11,12483250.62412309,1,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,10.0,18,N=3,"N=3,J=3.5,F=3.5","{""F"": 3.5, ""J"": 3.5, ""N"": 3}",32.6651269492818,8.0,0.0004135,3.6749523881136795e-11,11251846.454866478,2,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,10.0,19,N=3,"N=3,J=3.5,F=2.5","{""F"": 2.5, ""J"": 3.5, ""N"": 3}",32.6658463377203,6.0,0.000412727,3.4706991482787064e-11,11891753.861889528,3,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,10.0,20,N=4,"N=4,J=3.5,F=2.5","{""F"": 2.5, ""J"": 3.5, ""N"": 4}",54.386629216726206,6.0,0.0010138599999999999,4.438850461512751e-11,22840598.231247433,5,71,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
CN,cn-hfs.dat,p-H2,10.0,21,N=4,"N=4,J=3.5,F=3.5","{""F"": 3.5, ""J"": 3.5, ""N"": 4}",54.3874924828524,8.0,0.00101308,4.5475215313999503e-11,22277629.539625823,5,72,HFS-resolved spectroscopy + HFS-resolved collisions,True,True,False,
